prot1,degree_centrality,closeness_centrality,subgraph_centrality
9606.ENSP00000209718,0.0565635005,0.3475519288,8.49804875111683E+064
9606.ENSP00000218348,0.0016334531,0.3405462535,6.58745617153015E+107
9606.ENSP00000219476,0.0059597436,0.3610051149,4.80393995245013E+108
9606.ENSP00000226578,0.0074094032,0.3584951222,2.08096757296159E+107
9606.ENSP00000245907,0.0453748582,0.3912447045,4.04621881092604E+109
9606.ENSP00000250092,0.0075695018,0.3578781461,2.03001679497213E+107
9606.ENSP00000259457,0.0204040199,0.3797463475,6.36698423727361E+111
9606.ENSP00000260010,0.0036709877,0.3579876797,2.76120381271297E+108
9606.ENSP00000262113,0.0035971223,0.3496855346,1.62539511121775E+020
9606.ENSP00000262177,0.0025927726,0.345308041,3.58264249781601E+105
9606.ENSP00000263642,0.0099350907,0.3579930763,1.21047274722838E+110
9606.ENSP00000263967,0.0444698922,0.4088727613,9.07479565436625E+109
9606.ENSP00000269305,0.0441190275,0.4118693215,2.32955721023907E+111
9606.ENSP00000284818,0.0067012538,0.3723738227,2.53069702211953E+110
9606.ENSP00000285039,0.0016550811,0.3420516304,2.47159529581646E+092
9606.ENSP00000289153,0.0169289202,0.3844549209,2.1290810102565E+109
9606.ENSP00000292476,0.0284818068,0.3693747972,8.29417910474387E+109
9606.ENSP00000294618,0.0003306332,0.3453216875,7.13419745320403E+105
9606.ENSP00000295897,0.0193681021,0.373685913,2.23703626957574E+108
9606.ENSP00000300093,0.0374479889,0.3961382991,3.98830441907396E+111
9606.ENSP00000302728,0.0104537367,0.3635187581,1.29808227950592E+108
9606.ENSP00000302961,0.0087832299,0.3591889959,6.79252870101897E+108
9606.ENSP00000312021,0.0105,0.3431708991,1.79187008555919E+087
9606.ENSP00000313875,0.0015909091,0.3455859252,5.28617751667822E+095
9606.ENSP00000315477,0.001501251,0.3421413081,5.41669932037444E+106
9606.ENSP00000315768,0.0102239533,0.3597355401,2.60924536706055E+109
9606.ENSP00000318195,0.0078241431,0.3581054036,3.10505895738958E+108
9606.ENSP00000323889,0.0135988864,0.3798039774,4.53042102555222E+110
9606.ENSP00000329418,0.0341832758,0.3774322337,1.34611857254729E+113
9606.ENSP00000330341,0.038358225,0.380529888,1.56206571437981E+113
9606.ENSP00000333298,0.0083550199,0.3588596707,2.09339698925734E+107
9606.ENSP00000335153,0.0290352505,0.4075152157,5.10968717348014E+110
9606.ENSP00000337383,0.0035956852,0.3483484877,1.23776083135088E+108
9606.ENSP00000343701,0.002556092,0.349184311,1.82938240455635E+107
9606.ENSP00000349486,0.0011502185,0.3428233438,1.84286504641819E+108
9606.ENSP00000354394,0.0174735327,0.3815892689,3.11930985932901E+110
9606.ENSP00000360154,0.0189866887,0.3896976033,1.76896678414272E+110
9606.ENSP00000362728,0.0003425831,0.3380037054,2.35214415886149E+086
9606.ENSP00000363089,0.0080552359,0.3780352764,2.82563432569008E+110
9606.ENSP00000365465,0.0708955224,0.3559096946,3.39544808060552E+021
9606.ENSP00000368699,0.0122529187,0.3740164289,4.03693819699572E+110
9606.ENSP00000369213,0.0104355717,0.3714658914,4.96522578219304E+110
9606.ENSP00000369581,0.0065081055,0.3657016747,2.09855450989008E+109
9606.ENSP00000375863,0.024023621,0.3628969414,4.86179628839401E+109
9606.ENSP00000377958,0.0141981614,0.3870483119,4.89772820469394E+110
9606.ENSP00000379475,0.0163012929,0.3566023553,9.70210439234548E+108
9606.ENSP00000380033,0.0012838619,0.3520451977,2.696663180169E+107
9606.ENSP00000380734,0.0088652482,0.3359142347,2.64744227101922E+064
9606.ENSP00000381607,0.0013923698,0.341804683,7.10835274927516E+087
9606.ENSP00000382177,0.0058524173,0.3559943838,4.21880768400987E+107
9606.ENSP00000382840,0.0012234287,0.350823542,1.78579654047085E+107
9606.ENSP00000394071,0.0128098683,0.3608234186,3.48722831495549E+107
9606.ENSP00000401399,0.0070880095,0.3572785211,2.5459249905681E+109
9606.ENSP00000404381,0.0008223684,0.3427282976,3.99064391211311E+069
9606.ENSP00000405965,0.0175685172,0.3802779262,7.25161395261601E+110
9606.ENSP00000408411,0.0077220077,0.3580173776,2.03230916603238E+107
9606.ENSP00000409346,0.0213239142,0.356996077,3.40989991254687E+112
9606.ENSP00000420295,0.0058935691,0.3585456805,4.65314902195642E+106
9606.ENSP00000424838,0.0022731247,0.3409443186,9.12763727235175E+105
9606.ENSP00000473172,0.0120481928,0.3660710226,8.45516285322531E+108
