protein1,protein2,combined_score
10376.KR2_EBVB9,9606.ENSP00000340330,0.9670000000000001
10376.RTA_EBVB9,9606.ENSP00000252996,0.966
10376.RTA_EBVB9,9606.ENSP00000310127,0.956
10376.KR2_EBVB9,9606.ENSP00000262105,0.955
10376.RTA_EBVB9,9606.ENSP00000262238,0.955
10376.RTA_EBVB9,9606.ENSP00000239938,0.9540000000000001
10376.KR2_EBVB9,9606.ENSP00000310127,0.951
10376.RTA_EBVB9,9606.ENSP00000345702,0.9440000000000001
10376.RTA_EBVB9,9606.ENSP00000369373,0.943
10376.EBNA2_EBVB9,9606.ENSP00000345206,0.938
10376.GL_EBVB9,10376.GH_EBVB9,0.937
10376.UL34_EBVB9,10376.UL31_EBVB9,0.9359999999999999
10376.LMP1_EBVB9,9606.ENSP00000362994,0.934
9606.ENSP00000340330,9606.ENSP00000262238,0.9329999999999999
9606.ENSP00000369373,9606.ENSP00000310127,0.93
10376.EBNA6_EBVB9,9606.ENSP00000345206,0.9259999999999999
10376.GM_EBVB9,10376.GB_EBVB9,0.9159999999999999
9606.ENSP00000310127,9606.ENSP00000239938,0.9129999999999999
10376.BMRF2_EBVB9,10376.BDLF2_EBVB9,0.9059999999999999
10376.EBNA2_EBVB9,10376.EBNA1_EBVB9,0.903
